Sample	Hrs	GasPressure	CO2	CH4	H2	Spruce	pH	NH4	NO3
T0A	0	18	77.06	0	24.29	0	7.9	68.1	5.2784912025
T0B	0	163	88.175	0.004	5.67	0	7.7	64.2	7.2737378771
T0C	0	245	88.114	0.004	11.1492		7.6	65.8	5.1176831372
T1A	8	190	85.426	0.363	0.1525	12.8333333333	8	62.2	5.0289416184
T1B	8	63	82.816	0.513	0.4968	13.6666666667	7.9	64.1	4.3123011462
T1C	8	177	86.522	0.528	0.1779		7.9	63.9	4.4089009852
T2A	13	297	79.618	2.006	7.7196	28.3333333333	8.1	49.4	4.5336757772
T2B	13	285	78.914	3.288	8.649	26.8333333333	7.8	46.8	5.3902326829
T2C	13	281	79.893	2.799	7.057		7.8	53.2	4.259209568
T3A	18	634	76.077	6.96	7.4364	47.8333333333	7.7	31.7	4.0263349561
T3B	18	603	76.384	6.318	8.1471	50.3333333333	7.5	27	3.9184268026
T3C	18	542	76.77	6.684	7.3478		7.8	29.9	5.6349906083
T4A	23	498	75.122	7.89	6.6298	75.5	7.9	14.6	8.6727105455
T4B	23	509	77.484	7.373	2.6495	76.6666666667	7.6	16.1	8.8001686664
T4C	23	459	77.071	9.333	4.2985		7.8	15.4	4.9551500747
T5A	28	301	76.851	9.25	3.377	82.5	7.6	6.8	9.4999425001
T5B	28	300	78.173	10.475	1.9619	79.1666666667	7.6	13.1	6.4752558746
T5C	28	342	77.353	10.705	1.7756		7.6	14.7	10.4958408403
T6A	34	300	77.633	10.104	2.1139	93.15	7.6	9.2	5.5803656994
T6B	34	357	77.569	11.243	1.4166	91.6666666667	7.5	8.6	40.2522329129
T6C	34	343	77.595	11.963	1.3263		7.5	8.9	6.3224977958
T7A	40	276	77.979	11.304	1.1968	96.6666666667	7.3	10.2	5.9600567332
T7B	40	288	77.327	12.158	0.2953	96.5	7.6	13.4	5.2740828765
T7C	40	80	70.524	17.068	0.4234		7.7	60.9	6.3224977958
T8A	47	225	75.485	13.737	0.2846	98	7.2	14.4	5.9123318128
T8B	47	238	76.321	13.256	0.4664	97.5	7.1	17	4.9808333653
T8C	47	233	75.921	13.582	0.2276		7.1	13.7	5.6997738337
