T8C	12	+	5.25191e+11
T6C	8	-	1.62949e+12
T6A	8	+	2.2917e+13
T5B	16	+	3.15417e+11
T5A	11	-	6.14814e+11
T5A	3	-	1.00027e+12
T4C	8	+	1.21448e+12
T4B	11	-	1.3308e+12
T4B	3	-	6.64925e+11
T3C	11	-	1.82773e+12
T3A	11	+	1.02797e+13
T3A	3	+	2.26353e+13
T1C	11	+	1.2213e+13
T1A	7	-	4.85941e+12
T7C	12	+	1.15112e+12
T7A	8	-	7.23347e+11
T5C	8	-	9.44087e+11
T5B	1	-	4.16404e+11
T4A	11	-	5.84409e+12
T3C	8	+	1.71706e+13
T3B	1	+	3.81613e+12
T2C	11	-	1.4515e+12
T2A	11	+	3.89469e+12
T2A	3	+	1.61424e+13
T1B	11	+	1.14571e+13
T1B	3	+	2.73666e+13
T8C	12	-	4.58073e+11
T8A	12	+	6.77312e+11
T8A	4	+	5.36875e+12
T7B	12	+	1.48262e+13
T7B	4	+	7.34865e+12
T6C	12	+	1.05255e+12
T6A	8	-	5.3917e+12
T5B	16	-	4.96436e+11
T4C	8	-	4.26017e+11
T4A	8	+	1.94956e+13
T3B	16	+	4.85577e+12
T3A	11	-	3.74417e+12
T3A	3	-	4.73355e+12
T2C	8	+	1.15375e+13
T2B	1	+	3.67383e+12
T1C	11	-	5.07199e+12
T1A	11	+	1.72507e+12
T8C	9	+	1.97074e+12
T8B	2	+	2.20083e+12
T7C	12	-	5.26186e+11
T7A	12	+	2.00517e+12
T6B	12	+	2.18718e+12
T6B	4	+	9.40918e+11
T5C	12	+	7.52398e+11
T3C	8	-	3.46838e+12
T3B	1	-	2.77539e+12
T2B	16	+	1.0154e+12
T2A	11	-	2.69614e+12
T2A	3	-	4.05834e+12
T1C	8	+	3.81545e+13
T1B	11	-	4.78405e+12
T1B	3	-	8.10109e+12
T8A	12	-	4.42677e+11
T8A	4	-	1.84202e+12
T7C	9	+	4.46249e+12
T7B	12	-	1.13374e+13
T7B	4	-	5.76362e+12
T6C	12	-	5.74856e+11
T6A	12	+	7.96068e+12
T4C	12	+	5.31237e+11
T4A	8	-	5.81472e+12
T3B	16	-	2.26107e+12
T2C	8	-	1.83552e+12
T2B	1	-	1.17234e+12
T1A	11	-	3.2917e+11
T8C	9	-	6.3171e+11
T8B	2	-	9.78721e+11
T7A	12	-	6.83389e+11
T6C	9	+	4.04511e+12
T6B	12	-	9.02349e+11
T6B	4	-	2.56004e+11
T5C	12	-	6.55323e+11
T5A	12	+	1.11007e+12
T5A	4	+	4.87885e+12
T4B	12	+	1.81306e+12
T4B	4	+	1.47918e+12
T3C	12	+	2.99407e+12
T2B	16	-	2.40271e+12
T1C	8	-	1.27114e+13
T1A	8	+	1.67571e+13
T7C	9	-	1.13619e+12
T7A	9	+	5.08004e+12
T6A	12	-	3.55205e+12
