t1A	t1B	t1C	t2A	t2B	t2C	t3A	t3B	t3C	t4A	t4B	t4C	t5A	t5B	t5C	t6A	t6B	t6C	t7A	t7B	t7C	t8A	t8B	t8C	Unique_peptides
Ga0196617_1007792;Ga0187557_100110	0	0	916770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Ga0196617_10004971;Ga0187557_1001100;Ga0196617_1056971;Ga0196617_1005903	0	0	0	0	0	1122700	0	0	0	0	0	0	1469300	2040300	0	2194400	1143900	0	0	0	0	3148900	5357400	3592100	1
Ga0187564_10186;Ga0187557_1001101;Ga0196617_1037951	5.0946E+08	6.9157E+08	7.6738E+08	2.4068E+08	2.7226E+08	3.2713E+08	1.2378E+08	1.6087E+08	1.5066E+08	1.0169E+08	1.0457E+08	9.4417E+07	1.349E+08	8.2084E+07	8.2549E+07	1.3819E+08	1.047E+08	1.431E+08	1.1626E+08	8.0477E+07	1.3064E+08	1.1288E+08	1.1781E+08	8.6698E+07	2
Ga0196617_10004969;Ga0187564_10187;Ga0187557_1001102;Ga0196617_1005905	8.8763E+07	8.81E+07	1.1013E+08	7.143E+07	8.8417E+07	8.9622E+07	8.0864E+07	8.0792E+07	8.9072E+07	5.5425E+07	1.0226E+08	1.0296E+08	1.1942E+08	7.6693E+07	1.0762E+08	1.1452E+08	9.8535E+07	9.7073E+07	1.9584E+08	1.7636E+08	1.0743E+08	2.2134E+08	2.0475E+08	1.8073E+08	19
Ga0196617_10004968;Ga0187564_10188;Ga0187557_1001103;Ga0196617_1005906	1.5325E+08	1.1268E+08	1.4472E+08	8.1732E+07	9.2952E+07	9.4276E+07	6.0263E+07	6.3568E+07	6.3307E+07	8.6539E+07	8.7299E+07	7.4993E+07	1.0559E+08	9.9744E+07	1.0208E+08	9.8601E+07	1.3001E+08	1.8829E+08	1.4291E+08	1.1389E+08	1.2244E+08	9.2915E+07	1.5334E+08	1.4976E+08	20
Ga0187564_10191;Ga0187557_1001106	1.3481E+09	1.4566E+09	1.4789E+09	4.4185E+08	4.5973E+08	6.1198E+08	2.8129E+08	4.2313E+08	4.0947E+08	3.2499E+08	3.9218E+08	2.6562E+08	2.7161E+08	2.4286E+08	3.1631E+08	2.0973E+08	2.5058E+08	3.5627E+08	3.2027E+08	3.5258E+08	2.9954E+08	3.2488E+08	1.5385E+08	2.4076E+08	2
Ga0196617_10004964;Ga0187564_10192;Ga0187557_1001107	1998300	5301400	9595800	1472700	0	0	2010400	4536600	1696800	751760	0	1206500	1471300	0	0	2069800	3014800	4580200	686890	2060300	1704600	0	0	0	5
Ga0196617_10004962;Ga0187564_10194;Ga0187557_1001109	3777300	1.0489E+07	1.0823E+07	2215600	3113400	1953700	2839700	1419500	2214100	1968900	3999400	2923700	1471500	0	2669000	3962500	0	3714900	2207500	3036600	1584600	0	1601300	1659600	13
Ga0187564_10195;Ga0187557_1001110	1.6936E+07	1.3347E+07	1.5228E+07	9516300	2.5994E+07	1.2317E+07	2.7798E+07	2.0648E+07	2.5215E+07	2.3284E+07	2.682E+07	3.2525E+07	6.8161E+07	4.139E+07	5.0295E+07	2.925E+07	2.1663E+07	2.6492E+07	4.6754E+07	2.9149E+07	2.1203E+07	5.3085E+07	4.056E+07	4.9629E+07	5
Ga0187564_10196;Ga0187557_1001111;Ga0196617_1048561	3.4912E+08	4.0926E+08	4.1085E+08	2.6713E+08	2.0951E+08	3.7179E+08	3.0955E+08	2.537E+08	3.1393E+08	2.4028E+08	3.0185E+08	2.7952E+08	3.4399E+08	3.0598E+08	4.2866E+08	2.4266E+08	3.0696E+08	3.8423E+08	3.5286E+08	4.6532E+08	2.2264E+08	3.2026E+08	3.8082E+08	2.8471E+08	2
