Replicate	Time	Arabinose	Galactose	Glucose	Xylose	Mannose
A	T0	0.0001	0.0003	0.0018	0.0003	0.002
A	T1	0.0003	0.0002	0.0006	0.0006	0.0019
A	T2	0	0	0.0005	0.002	0.0004
A	T3	0	0.0002	0.0001	0.0074	0
A	T4	0	0.0003	0	0.0132	0
A	T5	0	0.0004	0	0.0134	0
A	T6	0	0.0007	0	0.0072	0
A	T7	0	0.0009	0	0.0083	0
A	T8	0	0.0005	0	0.0006	0
B	T0	0	0	0.0023	0.0003	0.0016
B	T1	0.0003	0	0.0007	0.0005	0.0012
B	T2	0	0.0001	0.0013	0.0019	0
B	T3	0	0.0004	0.0001	0.0077	0
B	T4	0	0.0003	0	0.0119	0
B	T5	0	0.0004	0	0.0106	0
B	T6	0	0.0005	0.0001	0.0088	0
B	T7	0	0.0006	0.0002	0.0008	0
B	T8	0	0.0005	0	0.0002	0
C	T0	0	0	0.0023	0.0003	0.0013
C	T1	0.0002	0	0	0.0006	0.0015
C	T2	0	0	0.0005	0.0016	0
C	T3	0	0.0002	0	0.0073	0
C	T4	0	0.0004	0	0.0119	0
C	T5	0	0.0005	0	0.0171	0
C	T6	0	0.0006	0.0002	0.0185	0
C	T7	0.0003	0.0005	0.0005	0	0
C	T8	0.0006	0.0009	0.0008	0	0
