ORF,protein2RNA
YAL001C,125
YAL002W,736
YAL003W,
YAL004W,
YAL005C,269000
YAL007C,26300
YAL008W,1920
YAL009W,861
YAL010C,768
YAL011W,1380
YAL012W,38300
YAL013W,
YAL014C,
YAL015C,
YAL016W,16900
YAL017W,967
YAL018C,
YAL019W,6800
YAL020C,
YAL021C,2780
YAL022C,217
YAL023C,6510
YAL024C,304
YAL025C,
YAL026C,606
YAL027W,1170
YAL028W,
YAL029C,2210
YAL030W,
YAL031C,227
YAL032C,1670
YAL033W,2230
YAL034C,
YAL034W-A,2610
YAL035C-A,
YAL035W,13400
YAL036C,11700
YAL037W,
YAL038W,291000
YAL039C,3870
YAL040C,
YAL041W,1010
YAL042W,
YAL043C,3730
YAL043C-A,
YAL044C,3510
YAL044W-A,238
YAL045C,
YAL046C,259
YAL047C,639
YAL048C,
YAL049C,1800
YAL051W,92.3
YAL053W,414
YAL054C,2890
YAL055W,259
YAL056W,
YAL058C-A,
YAL058W,4760
YAL059W,2840
YAL060W,8730
YAL061W,3090
YAL062W,
YAL063C,
YAL064C-A,
YAL064W,
YAL064W-B,
YAL065C,
YAL066W,
YAL067C,
YAL068C,
YAL069W,
YAR002C-A,20700
YAR002W,4590
YAR003W,907
YAR007C,4100
YAR008W,
YAR009C,2220
YAR014C,538
YAR015W,4280
YAR018C,
YAR019C,238
YAR020C,
YAR023C,
YAR027W,1690
YAR028W,1840
YAR029W,
YAR030C,
YAR031W,259
YAR033W,
YAR035W,
YAR042W,
YAR044W,846
YAR047C,
YAR050W,
YAR053W,
YAR060C,
YAR061W,
YAR062W,
YAR064W,1520
YAR066W,
YAR068W,
YAR069C,
YAR070C,
YAR071W,1460
YAR073W,
YAR075W,
YBL001C,1900
YBL002W,443000
YBL003C,32100
YBL004W,
YBL005W,166
YBL006C,
YBL007C,952
YBL008W,846
YBL009W,
YBL010C,1320
YBL011W,1050
YBL012C,
YBL013W,1070
YBL014C,237
YBL015W,4890
YBL016W,8480
YBL017C,7210
YBL018C,4870
YBL019W,414
YBL020W,
YBL021C,2510
YBL022C,14500
YBL023C,1690
YBL024W,16100
YBL025W,
YBL026W,2210
YBL027W,225000
YBL028C,6210
YBL029C-A,996
YBL029W,
YBL030C,
YBL031W,264
YBL032W,15600
YBL033C,9520
YBL034C,521
YBL035C,11200
YBL036C,4890
YBL037W,1590
YBL038W,2880
YBL039C,57600
YBL040C,
YBL041W,
YBL042C,
YBL043W,
YBL044W,
YBL045C,19300
YBL046W,1010
YBL047C,1380
YBL048W,
YBL049W,
YBL050W,
YBL051C,4630
YBL052C,
YBL053W,
YBL054W,830
YBL055C,1460
YBL056W,19700
YBL057C,2190
YBL058W,3200
YBL059C-A,279
YBL059W,623
YBL060W,
YBL061C,2580
YBL062W,
YBL063W,56.9
YBL064C,4510
YBL065W,
YBL066C,
YBL067C,125
YBL068W,5280
YBL069W,
YBL070C,
YBL071C,
YBL071W-A,8400
YBL072C,15900
YBL073W,
YBL074C,7330
YBL075C,6440
YBL076C,23300
YBL077W,
YBL078C,2010
YBL079W,1560
YBL080C,1390
YBL081W,
YBL082C,
YBL083C,
YBL084C,593
YBL085W,1040
YBL086C,396
YBL087C,
YBL088C,
YBL089W,
YBL090W,1270
YBL091C,1080
YBL091C-A,358
YBL092W,
YBL093C,6120
YBL094C,
YBL095W,704
YBL096C,
YBL097W,704
YBL098W,556
YBL099W,41500
YBL100C,
YBL101C,799
YBL102W,279
YBL103C,1050
YBL104C,184
YBL105C,
YBL106C,
YBL107C,768
YBL108C-A,
YBL108W,
YBL109W,
YBL111C,279
YBL112C,
YBL113C,
YBR001C,2500
YBR002C,8970
YBR003W,1560
YBR004C,
YBR005W,
YBR006W,
YBR007C,377
YBR008C,
YBR009C,524000
YBR010W,213000
YBR011C,68400
YBR012C,
YBR013C,
YBR014C,
YBR015C,6730
YBR016W,1760
YBR017C,2130
YBR018C,
YBR019C,
YBR020W,
YBR021W,
YBR022W,1170
YBR023C,1510
YBR024W,1480
YBR025C,36800
YBR026C,1560
YBR027C,
YBR028C,1470
YBR029C,
YBR030W,7880
YBR031W,
YBR032W,
YBR033W,
YBR034C,37600
YBR035C,
YBR036C,
YBR037C,2550
YBR038W,
YBR039W,28100
YBR040W,
YBR041W,16900
YBR042C,2010
YBR043C,279
YBR044C,
YBR045C,
YBR046C,
YBR047W,2160
YBR048W,1200
YBR049C,7510
YBR050C,
YBR051W,
YBR052C,7060
YBR053C,4190
YBR054W,1950
YBR055C,2250
YBR056W,1960
YBR057C,3400
YBR058C,3040
YBR058C-A,
YBR059C,3000
YBR060C,1700
YBR061C,4110
YBR062C,195
YBR063C,
YBR064W,
YBR065C,4260
YBR066C,704
YBR067C,35600
YBR068C,8660
YBR069C,504
YBR070C,339
YBR071W,1200
YBR072W,19300
YBR073W,1270
YBR074W,
YBR075W,
YBR076W,
YBR077C,3490
YBR078W,
YBR079C,52700
YBR080C,5920
YBR081C,2360
YBR082C,13500
YBR083W,530
YBR084C-A,97700
YBR084W,11400
YBR085C-A,
YBR085W,1080
YBR086C,
YBR087W,5040
YBR088C,
YBR089C-A,4590
YBR089W,
YBR090C,
YBR091C,
YBR092C,952
YBR093C,1110
YBR094W,1770
YBR095C,1630
YBR096W,1950
YBR097W,279
YBR098W,
YBR099C,
YBR100W,
YBR101C,13100
YBR102C,
YBR103C-A,
YBR103W,1620
YBR104W,1050
YBR105C,6650
YBR106W,61800
YBR107C,125
YBR108W,
YBR109C,
YBR110W,1890
YBR111C,7330
YBR112C,3890
YBR113W,
YBR114W,358
YBR115C,7430
YBR116C,
YBR117C,149
YBR118W,450
YBR119W,2950
YBR120C,2130
YBR121C,98400
YBR122C,
YBR123C,15800
YBR124W,
YBR125C,149
YBR126C,10900
YBR127C,131000
YBR128C,
YBR129C,1560
YBR130C,1010
YBR131W,2870
YBR132C,
YBR133C,1180
YBR134W,
YBR135W,8780
YBR136W,
YBR137W,1200
YBR138C,195
YBR139W,1420
YBR140C,
YBR141C,623
YBR142W,981
YBR143C,13100
YBR144C,
YBR145W,1310
YBR146W,
YBR147W,
YBR148W,
YBR149W,30200
YBR150C,573
YBR151W,2000
YBR152W,2510
YBR153W,
YBR154C,
YBR155W,672
YBR156C,319
YBR157C,
YBR158W,2020
YBR159W,41900
YBR160W,6670
YBR161W,195
YBR162C,12300
YBR162W-A,846
YBR163W,1420
YBR164C,5190
YBR165W,
YBR166C,2180
YBR167C,
YBR168W,
YBR169C,6300
YBR170C,1050
YBR171W,7820
YBR172C,486
YBR173C,2740
YBR174C,
YBR175W,
YBR176W,1420
YBR177C,2550
YBR178W,
YBR179C,1010
YBR180W,
YBR181C,38800
YBR182C,
YBR183W,
YBR184W,
YBR185C,2720
YBR186W,
YBR187W,2170
YBR188C,1430
YBR189W,63300
YBR190W,
YBR191W,
YBR191W-A,
YBR192W,
YBR193C,937
YBR194W,
YBR195C,149
YBR196C,91600
YBR197C,1360
YBR198C,14800
YBR199W,5240
YBR200W,6490
YBR201W,238
YBR202W,166
YBR203W,
YBR204C,
YBR205W,704
YBR206W,
YBR207W,486
YBR208C,952
YBR209W,
YBR210W,
YBR211C,1630
YBR212W,1540
YBR213W,
YBR214W,2840
YBR215W,238
YBR216C,3060
YBR217W,
YBR218C,17000
YBR219C,
YBR220C,
YBR221C,9970
YBR222C,8770
YBR223C,2130
YBR224W,
YBR225W,623
YBR226C,
YBR227C,10900
YBR228W,
YBR229C,238
YBR230C,4750
YBR231C,1680
YBR232C,
YBR233W,1590
YBR233W-A,468
YBR234C,
YBR235W,
YBR236C,
YBR237W,358
YBR238C,2080
YBR239C,85.5
YBR240C,
YBR241C,
YBR242W,2730
YBR243C,
YBR244W,2010
YBR245C,1500
YBR246W,2640
YBR247C,21600
YBR248C,11800
YBR249C,26300
YBR250W,
YBR251W,6680
YBR252W,4340
YBR253W,2180
YBR254C,1200
YBR255W,396
YBR256C,7300
YBR257W,
YBR258C,1520
YBR259W,
YBR260C,1500
YBR261C,3060
YBR262C,2550
YBR263W,17700
YBR264C,1360
YBR265W,7700
YBR266C,339
YBR267W,830
YBR268W,1100
YBR269C,
YBR270C,
YBR271W,217
YBR272C,468
YBR273C,2190
YBR274W,2530
YBR275C,
YBR276C,
YBR277C,
YBR278W,784
YBR279W,1040
YBR280C,
YBR281C,1940
YBR282W,2250
YBR283C,704
YBR284W,
YBR285W,
YBR286W,4740
YBR287W,6440
YBR288C,3410
YBR289W,217
YBR290W,3070
YBR291C,
YBR292C,
YBR293W,
YBR294W,
YBR295W,
YBR296C,
YBR297W,
YBR298C,
YBR299W,4030
YBR300C,
YBR301W,
YBR302C,
YCL001W,2840
YCL001W-A,
YCL001W-B,
YCL002C,
YCL004W,
YCL005W,149
YCL007C,
YCL008C,1360
YCL009C,15800
YCL010C,1750
YCL011C,2540
YCL014W,
YCL016C,1660
YCL017C,504
YCL018W,
YCL021W-A,
YCL022C,
YCL023C,
YCL024W,538
YCL025C,21100
YCL026C-A,
YCL027C-A,
YCL027W,
YCL028W,1140
YCL029C,300
YCL030C,521
YCL031C,2610
YCL032W,1670
YCL033C,799
YCL034W,
YCL035C,3030
YCL036W,
YCL037C,8430
YCL038C,
YCL039W,1200
YCL040W,21100
YCL041C,
YCL042W,
YCL043C,
YCL044C,3410
YCL045C,2840
YCL046W,
YCL047C,830
YCL048W,
YCL049C,656
YCL050C,19600
YCL051W,
YCL052C,4930
YCL054W,
YCL055W,1690
YCL056C,
YCL057W,8910
YCL058C,
YCL059C,4340
YCL061C,721
YCL063W,
YCL064C,36600
YCL065W,
YCL066W,
YCL067C,
YCL068C,
YCL069W,
YCL073C,
YCL075W,
YCL076W,
YCR001W,
YCR002C,14100
YCR003W,1690
YCR004C,14600
YCR005C,2310
YCR006C,
YCR007C,
YCR008W,1030
YCR009C,7390
YCR010C,
YCR011C,339
YCR012W,314000
YCR013C,
YCR014C,
YCR015C,
YCR016W,1850
YCR017C,
YCR018C,2100
YCR018C-A,
YCR019W,
YCR020C,195
YCR020C-A,2140
YCR020W-B,3550
