ORF,protein,protein_corrected,RNA,protein2RNA,protein2RNA_corrected
IPI00110850.1;IPI00473320.2;IPI00874780.1;IPI00857335.1;IPI00754167.2;IPI00454053.7,120124358.27,160379417.42,2187.76,54907.4662074451,73307.5919753538
IPI00624840.2;IPI00623776.3;IPI00624933.1;IPI00844736.1;IPI00329998.3;IPI00621374.1;IPI00621789.1;IPI00874920.1;IPI00876005.1;IPI00407339.7,114276755.88,152067000.1,,,
IPI00229543.3;IPI00221463.3;IPI00265761.6;IPI00229545.3;IPI00229544.3,112195575.48,149115326.16,,,
IPI00348270.3;IPI00124518.3,84235179.88,109841520.06,,,
IPI00282848.1;IPI00230730.4;IPI00659000.1;IPI00886422.1;IPI00831580.1,59865425.67,76311748.49,,,
IPI00307837.6;IPI00831365.1;IPI00831184.1;IPI00849577.1,35632177.98,43881476.24,3229.54,11033.2053419372,13587.5314255281
IPI00470152.2;IPI00755353.2;IPI00660718.1;IPI00342013.3;IPI00890072.1,33958673.77,41687039.05,12.79,2655095.68178264,3259346.29007037
IPI00849530.1;IPI00848801.1;IPI00850432.1,28372978.34,34416607.36,,,
IPI00117352.1,28010245.08,33947565.92,395.89,70752.5956199955,85749.9960089924
IPI00468203.3;IPI00605518.1;IPI00885292.1;IPI00885367.1,24585526.19,29539757.02,630.69,38981.9502291141,46837.2053148139
IPI00124096.1;IPI00918751.1,24371554.19,29265659.95,1825.51,13350.5454311398,16031.4980197315
IPI00229517.5,24190416.04,29033747.81,2247.05,10765.4106673194,12920.828557442
IPI00462072.3;IPI00648821.1;IPI00473227.1;IPI00849751.1;IPI00889980.1;IPI00649376.1,23534416.54,28194839.75,,,
IPI00110753.1;IPI00466390.1;IPI00473667.1,22952266.95,27451671.99,,,
IPI00323357.3;IPI00886297.1;IPI00457741.4;IPI00886370.1;IPI00885277.1;IPI00668185.1;IPI00930873.1,22087695.94,26350286.37,,,
IPI00890117.1;IPI00848816.1;IPI00407543.2;IPI00409405.2,20728410.95,24624508.9,729.82,28402.0867474172,33740.523553753
IPI00224740.6;IPI00650039.1,20300358.21,24082576.93,692.25,29325.1834019502,34788.8435247382
IPI00223713.5,18048885.06,21244986.1,4.31,4187676.34802784,4929231.1136891
IPI00554989.3;IPI00755515.1;IPI00874996.1,17479417.94,20530883.55,,,
IPI00880252.1;IPI00114733.1;IPI00880972.1;IPI00123306.2,17332335.28,20346693.42,444.32,39008.6768095067,45792.8822020166
IPI00407130.4,17242756.84,20234566.07,1089.96,15819.6235091196,18564.5033487467
IPI00553777.2;IPI00889986.1;IPI00620806.3;IPI00469298.7,17149858.28,20118323.75,,,
IPI00131459.1;IPI00649586.1;IPI00551485.1;IPI00854035.1,17140848.33,20107051.98,145.85,117523.814398354,137861.172300309
IPI00229080.7;IPI00830562.2;,16232953.45,18973296,898.58,18065.1176856819,21114.7543902602
IPI00123604.4;IPI00622968.1;IPI00659629.1;IPI00606764.1,15994455.33,18676154.62,,,
IPI00116498.1;IPI00853851.1;IPI00473203.1;IPI00776377.1;IPI00775847.1,15356631.58,17882956.85,72.15,212843.126541927,247858.02979903
IPI00108125.4;IPI00648714.1;IPI00850758.1;IPI00848526.1,15089910.44,17551906.01,437.32,34505.4203786701,40135.1550580811
IPI00118384.1;IPI00885651.1;IPI00828266.2,14499283.01,16820219.66,248.6,58323.7450120676,67659.7733708769
IPI00555113.2,14414148.93,16714914.49,408.9,35251.0367571533,40877.7561506481
IPI00751369.1;IPI00319994.6;IPI00756114.1;IPI00754398.1;IPI00467457.3;IPI00881151.1;IPI00881267.1,13681447.51,15810344.82,388.36,35228.7761612936,40710.5387269544
IPI00134621.3;IPI00126133.1,13614745.82,15728154.32,165.94,82046.1963360251,94782.1762082681
IPI00118676.3;IPI00929797.1;IPI00857870.1;IPI00857990.1,12549328.8,14419049.82,138.56,90569.6362586605,104063.581264434
IPI00121788.1;IPI00648615.3;IPI00648105.1;IPI00848536.1;IPI00605254.5;IPI00649645.1;IPI00853723.1,12537698.41,14404798.89,182.57,68673.3768417593,78900.1418086214
IPI00122421.5;IPI00623893.2;IPI00648920.2,11966328.12,13705785.87,,,
IPI00139795.2;IPI00742383.1,11941593.22,13675574.57,,,
IPI00308885.6;IPI00845678.1;IPI00830313.1;IPI00830195.2;IPI00749932.1;IPI00853695.1,11850629.8,13564507.36,230.35,51446.1897113089,58886.5090514435
IPI00465880.4;IPI00277965.3;IPI00938493.1;IPI00850702.1;IPI00756610.2,11647519.06,13316712.25,,,
IPI00136984.1;IPI00666161.1;IPI00850934.1;IPI00850039.1;IPI00349458.5;IPI00344904.5,11644436.86,13312954.17,68.8,169250.535755814,193502.240843023
IPI00225634.6;IPI00554850.2;IPI00473415.1;IPI00120475.1;IPI00116908.1,11390047.53,13003010.15,,,
IPI00322562.5;IPI00663582.1;IPI00895514.1;IPI00895455.1,11167559.75,12732311.06,341.76,32676.6144370318,37255.1236540262
IPI00137735.1;IPI00848593.1;IPI00115992.1;IPI00850188.1;IPI00677917.1;IPI00605858.2;IPI00461419.2;IPI00755670.2;IPI00661810.3,10959573.92,12479580.21,11.34,966452.726631393,1100492.08201058
IPI00555055.3;IPI00919098.1;IPI00331734.5;IPI00320149.2;IPI00918450.1;IPI00651852.1,10824992.16,12316214.63,10.94,989487.400365631,1125796.58409506
IPI00555069.3;,10728748.55,12199469.47,,,
IPI00117043.1;IPI00404804.1;IPI00266875.5;IPI00885994.1;IPI00885500.1,10693627.59,12156884.44,171.31,62422.6699550523,70964.2428346273
IPI00134599.1;IPI00856866.1,10338506.54,11726818.49,314.71,32850.8993676718,37262.3001811191
IPI00330363.8;IPI00622160.3;IPI00462453.4;IPI00354363.3;IPI00265107.4;IPI00462006.3;IPI00278580.6;IPI00461356.1;IPI00875556.1;IPI00661216.1;IPI00849084.1,10334236.6,11721653.32,,,
IPI00331092.7;IPI00752798.2;IPI00471047.2;IPI00116049.1,10136999.97,11483220.05,,,
IPI00230395.5;IPI00652811.1,10130505.17,11475373.9,158.26,64011.7854795906,72509.6290913686
IPI00420726.3;IPI00856235.1;IPI00918411.1;IPI00880750.1;IPI00857782.1;IPI00858267.1,10084634.81,11419968.96,583.5,17283.007386461,19571.4977892031
IPI00317590.5;IPI00851049.1;IPI00620156.1;IPI00474174.1;IPI00275455.2;IPI00268802.1;IPI00111248.1;IPI00381655.4;IPI00669224.2;IPI00377406.5,9989847.01,11305531.79,,,
IPI00314950.2;IPI00626366.3;IPI00752782.1;IPI00626504.2;IPI00130830.1,9811495.24,11090404.06,1063.71,9223.8441304491,10426.153801318
IPI00620256.3;IPI00400300.1;IPI00230435.1;IPI00886130.1,9696206.57,10951480.93,238.28,40692.4902215881,45960.5545156958
