ORF,Mean_Protein,Mean_RNAseq,protein2RNA
yaaA,14.738,0.036082474,408.4531454246
mog,21.221,0.019591141,1083.1936741204
dnaK,2435.911,0.494780793,4923.2125306044
dnaJ,68.948,0.12699115,542.935472275
ribF,13.22,0.148246546,89.1757707461
ileS,64.061,0.183238636,349.6042177481
lytB,30.665,,
dapB,50.366,0.087697929,574.3123078767
carA,477.221,0.544425087,876.5595329739
fixB,0.326,0.00053135,613.5315705279
fixC,3.352,0.000388802,8621.3548284217
kefC,3.107,0.007787325,398.981678561
folA,37.932,0.03131524,1211.2952032301
apaG,0.82,0.086206897,9.5119999505
surA,6.869,0.167962675,40.8959907313
yabO,5.437,,
hepA,25.95,0.028389539,914.0690872085
araB,1.594,0,
fruR,28.733,0.043824701,655.6348211024
yabB,5.859,,
yabC,20.017,,
murE,31.722,0.051782112,612.6053722954
murF,19.117,0.036450663,524.4623396836
murG,12.39,0.045454545,272.5800027258
ftsA,58.922,0.161648177,364.5076677852
secA,71.319,0.104805915,680.4864019364
mutT,3.868,0.017994859,214.9502810775
yacG,21.952,0.053299492,411.8613363144
guaC,67.478,0.146212848,461.505270727
hofB,0.774,0.002888087,267.9974668353
nadC,39.117,0.026315789,1486.446026756
aceE,843.19,0.999061209,843.982323009
aceF,850.657,0.906976744,937.9038719873
lpd,485.277,1.420294944,341.6733982262
acnB,231.593,0.436657682,530.3765616564
yacL,3.867,0.100828729,38.3521644907
speD,48.701,0.073047859,666.699896023
yacK,0.661,,
yadG,11.416,0.057775378,197.5928223265
yadE,1.944,0.008136697,238.9175853544
panC,53.307,0.12573443,423.9650189689
htrE,1.275,0,
pcnB,26.676,0.155332856,171.7344333127
yadB,2.26,0.015658747,144.3282786292
yadP,1.557,,
mrcB,0.945,0.023875296,39.5806611152
fhuA,3.905,0.061078912,63.9336863106
fhuC,11.085,0.020702635,535.4390878263
yadR,199.339,0.222383721,896.3740650783
yaeG,0.642,,
yaeH,150.126,0.224093264,669.9264284892
glnD,7.718,0.028443114,271.3486294082
map,124.971,0.147984887,844.4848831084
tsf,726.726,0.875440658,830.1259409864
pyrH,136.925,0.287586207,476.1181053443
frr,8.957,0.772890485,11.5889639915
b0174,21.068,,
hlpA,20.347,0.755670103,26.9257708082
lpxD,96.296,0.408780488,235.5689736346
fabZ,169.29,0.413186813,409.7178193342
lpxB,13.028,0.057055749,228.3380768518
dnaE,8.149,0.048248133,168.8977270893
ldcC,8.881,0.029191966,304.2275398649
yaeR,30.764,0.026992288,1139.7329489075
yaeQ,8.473,0.040366972,209.8993206624
yaeJ,0.526,0.030805687,17.0747693437
yaeC,15.557,,
yafC,18.608,0.012582057,1478.9314656578
yafD,7.967,0.05875,135.6085106383
dniR,0.772,,
gloB,7.29,0.042384106,171.9984373388
