ORF	t2A	t3A	t4A	t5A	t6A	t7A	t8A	t2B	t3B	t4B	t5B	t6B	t7B	t8B	t2C	t3C	t4C	t5C	t6C	t7C	t8C
Ga0187557_1001226	18.4794006849693	19.748541688665	19.4761406242033	18.7454631518251	18.1214455145081	17.5583089222507	18.683286368832	18.0335749543035	19.5979467037529	19.3424436528651	18.8322362257852	18.3947455573436	18.3223879113572	19.707511178186	18.1490675335402	19.8159645931257	19.4345395144324	19.8962528762312	18.6310528010264	17.940348416804	18.2540405336625
Ga0187557_100148	16.7078806849693	18.429961688665	18.8001406242033	19.4546831518251	17.3912955145081	18.1309189222507	17.720106368832	16.7858249543035	18.4395667037529	18.8423536528651	18.4543262257852	18.7815855573436	18.5677279113572	18.224681178186	16.7817275335402	18.7121245931257	18.9221095144324	18.6045128762312	18.8244828010264	18.349323416804	18.1022505336625
Ga0187557_1002156	13.3093896849693	16.749261688665	16.5747106242033	16.6508931518251	15.0386455145081	15.4494389222507	15.374766368832	13.8315119543035	15.9678167037529	15.4657146528651	16.3227662257852	16.1855855573436	13.9722536113572	16.517421178186	14.1923275335402	15.8548445931257	16.0166695144324	14.2379228762312	15.3972928010264	14.710846266804	15.7693005336625
Ga0187557_1003175	16.1537206849693	17.944071688665	18.3158106242033	18.1599131518251	17.3879755145081	17.3603789222507	17.283266368832	16.4306849543035	17.7720367037529	18.0990536528651	17.8657862257852	17.9851955573436	17.4012079113572	18.030871178186	16.7937375335402	17.7680345931257	18.3416295144324	18.2736428762312	17.5324928010264	17.380793416804	17.1412505336625
Ga0187557_1003239	15.1636806849693	17.328761688665	16.5580106242033	14.9975804518251	13.9190385145081	13.1676559222507	14.577386368832	15.2651749543035	16.2919867037529	15.2625416528651	15.2295702257852	13.9955455573436	15.3376879113572	16.803681178186	14.4625275335402	16.1843745931257	15.2984545144324	15.5736298762312	13.9925528010264	14.252671916804	15.4245605336625
Ga0187557_1003251	18.1063406849693	20.379441688665	20.0609006242033	20.3026931518251	18.8356255145081	18.7810889222507	17.966666368832	18.0517549543035	18.8656167037529	19.2518936528651	19.8173762257852	20.1455055573436	19.4776679113572	18.814641178186	18.0896775335402	19.0722945931257	19.1055495144324	20.1649928762312	20.1462828010264	19.129378416804	18.3319505336625
Ga0187557_1003279	16.6517506849693	19.553511688665	19.9532306242033	19.9716831518251	18.9807655145081	18.9152889222507	18.660436368832	16.9967049543035	18.5419567037529	19.3623236528651	19.4476762257852	19.8742055573436	19.0074479113572	19.276891178186	17.3913275335402	18.6075445931257	19.4038195144324	20.0242428762312	19.6857228010264	18.961368416804	19.1241805336625
Ga0187557_100355	16.6913906849693	17.248861688665	17.6678506242033	16.9983631518251	16.4906855145081	16.4043489222507	16.798266368832	16.6887549543035	17.7744067037529	17.6612536528651	17.2803362257852	17.1276855573436	17.0269279113572	17.184601178186	16.4406275335402	18.0455045931257	17.1629095144324	17.1746628762312	17.1832428010264	16.715638416804	16.0715605336625
Ga0187557_100439	18.2493006849693	20.180041688665	20.3358006242033	20.2817231518251	19.6742155145081	19.5423089222507	19.110786368832	18.0260149543035	19.6975067037529	20.0958036528651	20.2968262257851	20.3659555573436	19.8369479113572	20.059801178186	17.9396575335402	19.7238545931257	20.1058495144324	20.6561028762312	20.0382328010264	19.689628416804	19.2050205336625
Ga0187557_100485	19.0666006849693	20.030181688665	20.0523606242033	19.3630031518251	18.6600355145081	18.6353989222507	18.878116368832	18.9784349543035	19.7417167037529	19.5197836528651	19.7061862257852	19.3633055573436	18.9109279113572	19.789381178186	19.1142375335402	19.8361245931257	19.4284395144324	20.0676628762312	19.1929828010264	18.773163416804	18.6202405336625
Ga0187557_1005108	17.6710606849693	19.008021688665	18.1644206242033	17.7659731518251	16.9471155145081	16.9883489222507	17.843286368832	18.0250449543035	18.7451667037529	18.7638536528651	18.0072162257852	17.3699755573436	17.2417179113572	18.753691178186	17.8704175335402	18.8978945931257	18.8633595144324	18.1187928762312	16.8770228010264	17.115033416804	17.7530105336625
Ga0187557_1005145	21.9264006849693	22.400531688665	21.6350906242033	20.8147631518251	20.0664955145081	10.6278989222507	20.925246368832	21.1211849543035	21.6659367037529	21.7550036528651	20.8233962257852	20.5021855573436	20.2186779113572	22.228241178186	21.4185075335402	22.1447445931257	21.7818695144324	21.1829228762312	20.4186228010264	15.423288416804	20.5045005336625
Ga0187557_1005166	16.3044106849693	19.207411688665	18.6012606242033	18.5572831518251	17.1908255145081	17.5011289222507	17.223146368832	16.3632149543035	17.8776367037529	17.8753136528651	17.9646162257852	18.7746355573436	18.2528379113572	18.226371178186	16.2652275335402	18.1137045931257	18.1714195144324	19.0002328762312	18.8989928010264	17.876983416804	17.9730305336625
Ga0187557_100565	17.4429606849693	19.193151688665	19.2292006242033	18.8259631518251	18.2818955145081	17.9780689222507	18.007496368832	17.2879249543035	18.4663367037529	18.6598936528651	19.1954462257852	19.0664155573436	18.6091679113572	19.528501178186	17.0895375335402	18.6167845931257	18.8228695144324	19.5107028762312	18.8904128010264	18.293618416804	18.4749105336625
Ga0187564_101101	16.3566706849693	18.657481688665	18.9368406242033	18.7434931518251	17.7489255145081	17.3642489222507	17.434056368832	16.7944149543035	18.2628567037529	18.7585536528651	18.2785562257852	18.0502255573436	17.7658279113572	18.558561178186	16.9204075335402	18.3134345931257	18.3357495144324	19.2686028762312	18.1584028010264	17.565038416804	17.3071205336625
Ga0187564_101140	15.5072806849693	18.344821688665	17.5627006242033	17.5732831518251	16.2695455145081	15.2788489222507	16.535366368832	15.9170949543035	17.5714967037529	17.9093036528651	16.8056262257852	16.0832155573436	16.9821479113572	18.436211178186	16.4773575335402	17.9542845931257	17.6611395144324	17.9252728762312	16.7374028010264	16.130498416804	16.4332305336625
Ga0187564_10161	16.0792206849693	17.803681688665	17.7022206242033	17.2978531518251	16.4257255145081	15.6974089222507	16.488886368832	16.0958949543035	17.6522667037529	17.5703336528651	17.5470662257852	17.2020355573436	16.5704679113572	17.211451178186	16.1211875335402	17.5517345931257	17.6759695144324	17.9165428762312	17.1444128010264	16.133938416804	16.2526805336625
