t2A_X0t0	t3A_X0t1	t4A_X0t2	t5A_X0t3	t6A_X0t4	t7A_X0t5	t8A_X0t6	t2B_X1t0	t3B_X1t1	t4B_X1t2	t5B_X1t3	t6B_X1t4	t7B_X1t5	t8B_X1t6	t2C_X2t0	t3C_X2t1	t4C_X2t2	t5C_X2t3	t6C_X2t4	t7C_X2t5	t8C_X2t6	t2A_Y0t0	t3A_Y0t1	t4A_Y0t2	t5A_Y0t3	t6A_Y0t4	t7A_Y0t5	t8A_Y0t6	t2B_Y1t0	t3B_Y1t1	t4B_Y1t2	t5B_Y1t3	t6B_Y1t4	t7B_Y1t5	t8B_Y1t6	t2C_Y2t0	t3C_Y2t1	t4C_Y2t2	t5C_Y2t3	t6C_Y2t4	t7C_Y2t5	t8C_Y2t6	R0	R1	R2	R3	R4	R5	D0	D1	D2	D3	D4	D5	signedCPS1	signedCPS2	signedCPS3	signedCPS4	signedCPS5	signedCPD1	signedCPD2	signedCPD3	signedCPD4	signedCPD5	FDR_S1	FDR_S2	FDR_S3	FDR_S4	FDR_S5	FDR_D1	FDR_D2	FDR_D3	FDR_D4	FDR_D5
Ga0187557_1001226	2.92358	2.99	2.97611	2.93788	2.90402	2.87245	2.93455	2.88822	2.97141	2.95829	2.93155	2.90805	2.90411	2.97698	2.89571	2.98358	2.96414	2.98762	2.92192	2.88414	2.90148	3.1662	3.19992	3.16025	3.17553	3.1601	3.14899	3.18034	3.19757	3.17554	3.16839	3.16409	3.17207	3.14733	3.16633	3.18197	3.14533	3.20429	3.1473	3.1686	3.15588	3.18794	0.08255125148528482	0.08252617322698737	0.08253306986967336	0.08255259513618414	0.08281369820325915	0.08767421957947871	0.010897593740916652	0.010897593740916652	0.010897593740916652	0.010897593740916652	0.010897593740916652	0.010897593740916652	-0.007	0.007	0.013	0.016	0.118	-0.0	-0.0	-0.0	-0.0	-0.0	0.8492449134527783	0.8492449134527783	0.8231483748987121	0.8099710836335308	0.5722922997682202	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703
Ga0187557_100148	2.82432	2.92242	2.94231	2.97653	2.86441	2.90606	2.88314	2.81706	2.91102	2.93263	2.91182	2.9294	2.91795	2.8993	2.81532	2.9242	2.93536	2.91844	2.93019	2.90462	2.89107	3.18385	3.246	3.21571	3.21875	3.2275	3.19059	3.18921	3.21705	3.25126	3.18809	3.22525	3.20071	3.16538	3.22387	3.23348	3.22222	3.25082	3.19242	3.16576	3.18624	3.22066	0.12010065000862366	0.10419217307214079	0.10372710768264966	0.10377557315762338	0.10439693661779832	0.11217777691385795	0.013808836944483968	0.013808836944483968	0.013808836944483968	0.013808836944483968	0.013808836944483968	0.013808836944483968	-0.255	-0.027	0.011	0.033	0.149	-0.0	-0.0	-0.0	-0.0	-0.0	0.42422480620155034	0.7652968345855395	0.8320235925389656	0.7451349120433012	0.531560082063306	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703
Ga0187557_1002156	2.57727	2.80715	2.79667	2.80126	2.69942	2.72637	2.72152	2.62343	2.76705	2.7351	2.78904	2.7806	2.63355	2.80089	2.66743	2.7782	2.78836	2.67064	2.74892	2.70331	2.77279	3.11817	3.17218	3.18263	3.13459	3.17296	3.15861	3.15599	3.15136	3.19516	3.19087	3.14606	3.14956	3.11243	3.14969	3.12131	3.16427	3.17463	3.14162	3.16354	3.15115	3.17862	0.2095986898236795	0.11993788042334036	0.11730226076224733	0.12013461745538975	0.12060158070746861	0.12623906111098204	0.015443117254800643	0.015443117254800643	0.015443117254800643	0.015443117254800643	0.015443117254800643	0.015443117254800643	-0.938	-0.058	0.071	0.03	0.131	-0.0	-0.0	-0.0	-0.0	-0.0	0.02972580645161292	0.6791297316509682	0.6499404196357876	0.7548863871635605	0.5541010101010101	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703
Ga0187557_1003175	2.7867	2.8918	2.91231	2.90376	2.86032	2.85874	2.85428	2.79547	2.87394	2.89218	2.8792	2.88587	2.85286	2.8884	2.82014	2.87654	2.90831	2.9046	2.86319	2.8545	2.84063	3.16896	3.21585	3.20349	3.19965	3.19448	3.16526	3.18122	3.18919	3.20403	3.18718	3.20535	3.19402	3.17222	3.17691	3.18889	3.19614	3.2146	3.18779	3.17334	3.17723	3.1909	0.06182287777118451	0.050967017245250636	0.0499419584405352	0.04976564143572267	0.049742279401365434	0.049939708364493414	0.006813799127856037	0.006813799127856037	0.006813799127856037	0.006813799127856037	0.006813799127856037	0.006813799127856037	-0.293	-0.063	-0.012	-0.004	0.015	-0.0	-0.0	-0.0	-0.0	-0.0	0.39189200180750094	0.666433923578751	0.8276252736666954	0.8595141063619689	0.8142515669515664	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703
Ga0187557_1003239	2.72666	2.86012	2.81463	2.71564	2.64101	2.58552	2.68723	2.70776	2.77286	2.70758	2.70542	2.62092	2.71249	2.80378	2.68162	2.79411	2.73781	2.75564	2.64859	2.66701	2.74602	3.16052	3.17836	3.08955	3.17563	3.1556	3.08689	3.15655	3.1463	3.17728	3.10152	3.20201	3.14325	3.11221	3.12054	3.17731	3.16459	3.14603	3.16272	3.11221	3.11106	3.12918	0.1132381860095435	0.11227051359408675	0.11447996709366036	0.11230439572002533	0.11220445461844246	0.11520674732001035	0.015022345265979398	0.015022345265979398	0.015022345265979398	0.015022345265979398	0.015022345265979398	0.015022345265979398	-0.027	0.041	-0.036	-0.024	0.07	-0.0	-0.0	-0.0	-0.0	-0.0	0.7652968345855395	0.7209694782739433	0.7360277621195035	0.7763721716818283	0.6518059378686588	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703
Ga0187557_1003251	2.89565	3.01392	2.99816	3.01014	2.93514	2.93224	2.88791	2.89203	2.93613	2.9564	2.98535	3.00177	2.96806	2.93342	2.89716	2.95006	2.9518	3.00577	3.00484	2.95305	2.91047	3.22127	3.26431	3.23603	3.27171	3.2814	3.28523	3.26923	3.23705	3.247	3.24872	3.27024	3.28154	3.26342	3.28122	3.22231	3.26699	3.27096	3.26729	3.25906	3.27073	3.27184	0.06986437488565136	0.06621714427330598	0.06587867704345689	0.0655631808978236	0.06532690565151206	0.06521470410345681	0.006240206235238401	0.006240206235238401	0.006240206235238401	0.006240206235238401	0.006240206235238401	0.006240206235238401	-0.1	-0.015	-0.024	-0.012	-0.006	-0.0	-0.0	-0.0	-0.0	-0.0	0.5982540208136232	0.8142515669515664	0.7763721716818283	0.8276252736666954	0.8529865424430638	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703
Ga0187557_1003279	2.81376	2.9744	2.99463	2.99556	2.94467	2.94121	2.92765	2.83511	2.92212	2.96542	2.96982	2.99151	2.94692	2.96099	2.85264	2.92024	2.96214	2.99361	2.97656	2.93907	2.94762	3.24024	3.28407	3.24911	3.24914	3.27695	3.22402	3.25693	3.27575	3.27957	3.25598	3.26005	3.23642	3.22025	3.25244	3.27606	3.25306	3.25906	3.24384	3.24451	3.23483	3.26911	0.05170860582817067	0.05163970651020568	0.051676864206632686	0.051687602580801816	0.051676470904306444	0.05926375319142962	0.006858878652759543	0.006858878652759543	0.006858878652759543	0.006858878652759543	0.006858878652759543	0.006858878652759543	-0.006	0.006	0.001	-0.005	0.187	-0.0	-0.0	-0.0	-0.0	-0.0	0.8529865424430638	0.8529865424430638	0.865441962478067	0.8563355229914095	0.48517388362652225	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703
Ga0187557_100355	2.82303	2.85588	2.87988	2.84125	2.81093	2.80568	2.82941	2.80233	2.86535	2.85896	2.83716	2.82829	2.82239	2.8316	2.80403	2.89717	2.84702	2.84771	2.84821	2.82062	2.78132	3.20298	3.24884	3.21228	3.21672	3.2106	3.1762	3.21197	3.2447	3.24085	3.21111	3.19963	3.21454	3.17528	3.19348	3.22849	3.21665	3.24173	3.18287	3.207	3.18104	3.2218	0.06530834526756767	0.06473529924279854	0.06470567111416471	0.0647281517153046	0.06481481164625993	0.06916779148300203	0.008829347565904635	0.008829347565904635	0.008829347565904635	0.008829347565904635	0.008829347565904635	0.008829347565904635	-0.024	-0.006	0.005	0.012	0.104	-0.0	-0.0	-0.0	-0.0	-0.0	0.7763721716818283	0.8529865424430638	0.8563355229914095	0.8276252736666954	0.5913767239293489	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703
Ga0187557_100439	2.90641	3.00698	3.01467	3.01201	2.9816	2.97487	2.95254	2.88691	2.97559	2.99561	3.00556	3.00896	2.98264	2.99381	2.88963	2.98444	3.00363	3.03063	3.00026	2.98271	2.95779	3.19737	3.25914	3.24721	3.26657	3.2611	3.26256	3.26919	3.23377	3.2488	3.24934	3.25917	3.27123	3.22878	3.27205	3.2244	3.2437	3.26105	3.26766	3.2449	3.25049	3.27094	0.08502062912201337	0.08173181323536939	0.0814411833260091	0.08113991845404743	0.08092624746095606	0.08142645281943528	0.008562093009108004	0.008562093009108004	0.008562093009108004	0.008562093009108004	0.008562093009108004	0.008562093009108004	-0.105	-0.022	-0.018	-0.01	0.021	-0.0	-0.0	-0.0	-0.0	-0.0	0.590344743869871	0.7848037090827835	0.8018251427406193	0.8362391214256109	0.7883629783967535	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703
Ga0187557_100485	2.95218	3.00148	3.00258	2.9676	2.93062	2.9293	2.94224	2.93749	2.97693	2.96562	2.97512	2.95757	2.93393	2.97934	2.952	2.98908	2.96831	3.00068	2.95612	2.934	2.92582	3.29548	3.32033	3.31291	3.30975	3.31628	3.29512	3.31826	3.32299	3.31244	3.30551	3.3138	3.32081	3.29507	3.2975	3.29947	3.31584	3.32931	3.29938	3.30774	3.30113	3.31524	0.07678132450745631	0.07656055832720744	0.07648446639206738	0.07649092531136147	0.07649179166456285	0.07679182934694471	0.008736942335285429	0.008736942335285429	0.008736942335285429	0.008736942335285429	0.008736942335285429	0.008736942335285429	-0.016	-0.009	0.004	0.004	0.011	-0.0	-0.0	-0.0	-0.0	-0.0	0.8099710836335308	0.8408502170767	0.8595141063619689	0.8595141063619689	0.8320235925389656	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703	0.995220297029703
