ORF	t2A	t3A	t4A	t5A	t6A	t7A	t8A	t2B	t3B	t4B	t5B	t6B	t7B	t8B	t2C	t3C	t4C	t5C	t6C	t7C	t8C
Ga0187557_1001226	23.8099201552744	24.6264069785611	23.6686805982322	24.0331307248171	23.6650374008828	23.4035356207049	24.1489640334655	24.5035713316845	23.9695323677524	23.7987579720689	23.696764833312	23.8866887580936	23.3028455556262	23.749854517059	23.9705050878648	23.1081126591234	24.5114454318603	23.1536991690252	23.6522013349107	23.3531905881655	24.1138573964194
Ga0187557_100148	24.3945984120753	25.9588207487518	25.1843397462834	25.2611420232348	25.4829653836151	24.5595880529795	24.5256688243101	24.8261329208191	25.6902190560905	24.1174941914338	25.0305485487147	24.4239032124833	23.5759108304116	24.9961476870893	25.232103780105	24.9496839417748	25.6734122404344	24.2170376620322	23.5799783279129	24.0677494416956	24.910749401877
Ga0187557_1002156	22.9211587852574	24.1930954196732	24.4474484951792	23.3007018415921	24.2122076049813	23.8671532834794	23.8047460493995	23.2789665551936	24.3210704645101	24.2171479288164	23.1557755087266	23.2369945981561	22.3900699585095	23.2400775725754	22.4487352838979	23.4340317719875	23.6781357934436	22.9091893191425	23.4169592144593	23.1286116209944	23.7728875793038
Ga0187557_1003175	23.8292273769405	24.9732331735196	24.6664459383859	24.5718620184071	24.4453019483757	23.7412880752482	24.12329975123	24.3588215016447	24.7229735548249	24.309733048564	24.7555469574201	24.4765929895983	23.9487270972224	24.0614805467111	24.1245627939821	24.3002619957876	24.7529947185568	24.0981388286368	23.752504349149	23.8450075862353	24.1730998220411
Ga0187557_1003239	23.7324872345178	24.1596936444523	22.1065492882803	24.0936745649025	23.6160352098826	22.0478130744244	23.638439935873	23.2804199544139	24.0129556271125	22.2609094292731	24.6143111624782	23.2096552425959	22.5002096376076	22.6885104765069	23.799534948132	23.498889837243	23.0667880203834	23.4547921936456	22.2996595699075	22.274011356016	22.6811697629589
Ga0187557_1003251	24.9494457387532	26.046699268262	25.3205317631261	26.2403411395812	26.4958813177892	26.5974825761527	26.1752985781064	25.5094570929418	25.7644574477584	25.8088196401864	26.3703545009662	26.6701570244095	26.1911002586633	26.6614410553286	25.1466433324183	26.2957461163465	26.4001606867166	26.3034348545453	26.0878897831427	26.394291417408	26.4235375246645
Ga0187557_1003279	25.8412229172689	26.999065783257	26.0715275830721	26.0721131852283	26.8073465240122	25.4255537395075	26.2761125213695	26.3757855403807	26.4767669438781	25.8593831599786	25.9650662306508	25.3586538803921	24.9519462969594	25.7679936923957	26.2490686289655	25.6521486265519	25.806745518413	25.4167540949273	25.4338432275064	25.1887500182335	26.0671798714372
Ga0187557_100355	24.7129180228682	25.872572706039	24.9437986292948	25.0549026640978	24.9020091778626	24.0599110988334	24.9361844224891	25.6331341534846	25.5346898229495	24.7863451536723	24.5035500189954	24.8716845389776	23.9139441101239	24.3532025575245	25.1525074281226	24.856433489245	25.4877897034899	24.0307076790827	24.6177283978605	23.9869276044787	24.9847839377415
Ga0187557_100439	24.5130292075322	26.0750902302385	25.765665150363	26.269595797022	26.1262831273189	26.1643020880109	26.3385054649528	25.4076731415845	25.79251895461	25.8062927185736	26.0612026592233	26.3775586691283	25.2812581308625	26.3991762211913	25.0601638487818	25.548684542193	25.9958051767414	26.1680805801983	25.5792551864783	25.7227801094367	26.2542027020503
Ga0187557_100485	27.1653881890325	27.8491205915687	27.6430479127158	27.5558319300494	27.7364331486033	27.1558038401698	27.7914013326855	27.6753309570134	27.3847321075178	27.1955853644426	27.4220042804965	27.6150209157755	26.91310637838	26.9787521054602	26.9896514914003	27.4352495556465	27.8072880204977	26.9871698173526	27.213807769482	27.0344551092749	27.4187177455379
Ga0187557_1005108	27.1935617729904	27.9577887653277	28.3847016429295	28.4580620103922	27.98334816901	28.2867756502786	28.1420000545251	27.3661545807179	28.1290773563833	27.7811902646994	28.2784853362084	28.1121488093769	28.270134046024	28.2686124899846	27.7028489953779	28.0377350872322	28.0118446041495	28.2780672278905	27.9485511388744	28.2784548481513	28.4649500605914
Ga0187557_1005145	28.0664153870663	28.0658818162801	25.6508248398075	27.1632848158922	26.7507500616162	25.8161042597554	26.3864961502079	28.1596272680811	27.8743658439993	25.5280388296893	27.1217590977193	25.6659686412052	25.7156880314262	26.7554644925938	28.1521884060277	27.0977396041942	27.662393660758	26.3121764782405	26.1090389987611	25.7658961455908	26.880857483905
Ga0187557_1005166	25.9293720888306	27.180539932673	26.6136965275672	27.1230106566032	27.0163628249471	25.92284664731	26.9669081845776	25.9259108688459	27.0382040588337	26.2641167582196	26.9583294189673	26.0167869351248	26.3097824731987	27.0607469219397	26.0493442572008	26.7191586584688	26.4885528124203	27.1066059326835	26.7141184763537	26.1163145602544	26.8971364688833
Ga0187557_100565	23.6426369552588	24.4277813300383	23.93063741737	24.2802773186612	24.0469506434189	24.1907802291057	24.0016291907301	23.9729532772076	24.5734833764532	24.3120347804747	24.4115894588859	24.2344733347659	24.0055545298175	24.5980688166979	23.8510345712923	24.1189793958287	24.6923462416781	24.3286031531668	24.212360456417	24.0981673794616	24.6434326163288
Ga0187564_101101	23.0821291515947	23.9193194373017	23.1853592205829	22.2658080292331	23.4864600873822	22.5657123222365	23.3502823170955	24.0084105836366	24.2663059205195	23.1673722275962	22.1897695059259	22.6576525114948	22.3485042781434	22.1309340579762	23.6371862124146	23.5349376390709	23.3233117739783	22.335398057692	22.3973725345392	22.4571083001899	22.5542830800844
Ga0187564_101140	24.0923274187749	24.9768549727638	24.539967495625	25.6813093435264	25.568575924578	25.4341386388433	25.4732574633609	24.4087491520811	24.8839259685087	25.2142322118881	25.7750975174774	25.6866455863544	24.9878300146594	25.9938198279273	24.4769481907256	24.6303661953077	25.6358727366516	25.7418681634798	25.4489700774167	25.2109843267513	25.8831792692964
Ga0187564_10161	28.129345938561	28.4292119312688	28.1662642566053	27.9647156789498	28.2104150214479	27.7119794966054	27.7360527273766	28.4713424331218	28.6040654554374	27.9213544678988	27.6731361331023	27.9683482414171	26.9866133150725	27.6637555721864	28.3179206388682	28.0438238596364	28.0640669505634	27.3192598991242	27.5194785038431	27.349296405839	27.7467956264635
Ga0187564_102195	24.4457519074631	24.87323433046	24.7181644387461	24.2673426515654	24.8016883613659	24.0383690838322	24.3724201562314	24.4741255452028	25.0589786618515	24.1993257370584	24.5746372144473	24.4705449323378	23.1133422175958	24.0900063822506	24.8954784418254	24.4218445790875	24.7391622435205	24.0681258349526	23.7343819848602	23.575855650714	23.9603460082041
Ga0187564_102223	26.2404335340519	26.6930734042537	26.6294788089187	26.5725400471866	26.2864423172582	25.6430283119997	26.1421063077849	26.3426357262503	26.7963092121397	26.2860319576766	26.6764733828584	26.1506055395666	26.0772191572574	26.2053374491032	26.3760702533969	26.4546826375385	27.2916853296709	26.6532224379704	26.1162788903788	25.8601237346286	26.0226824904798
Ga0187564_102248	25.2561899756238	26.3517867889366	26.7121538145677	26.9080779913849	26.4073432636922	26.7786077541626	26.7054403086766	26.026904900124	26.1589418438906	26.196181648725	26.912910942063	26.4141670167592	26.6167962164942	26.9322176502932	25.8149831950922	25.844881759486	26.4970733376584	26.8214849768821	26.8629070444147	26.6977019853284	26.9746368469142
Ga0187564_10255	22.9499049301376	24.19090848867	23.7103778033923	23.5147665858251	23.6447001627849	22.7647738528007	23.2471405354483	24.1503804766463	23.0716410987298	23.3338656839287	23.0391528093907	23.5545673635882	21.9088642420504	22.6864117507975	23.4234562990093	22.6290786033513	23.8736213650201	22.2594461804957	23.2063248744992	22.3368190474255	23.3241116534357
