ORF	contig	bin
Ga0187557_10011	Ga0187557_1001	BWF2A
Ga0187557_10012	Ga0187557_1001	BWF2A
Ga0187557_10013	Ga0187557_1001	BWF2A
Ga0187557_10014	Ga0187557_1001	BWF2A
Ga0187557_10015	Ga0187557_1001	BWF2A
Ga0187557_10016	Ga0187557_1001	BWF2A
Ga0187557_10017	Ga0187557_1001	BWF2A
Ga0187557_10018	Ga0187557_1001	BWF2A
Ga0187557_10019	Ga0187557_1001	BWF2A
Ga0187557_100110	Ga0187557_1001	BWF2A
Ga0187557_100111	Ga0187557_1001	BWF2A
Ga0187557_100112	Ga0187557_1001	BWF2A
Ga0187557_100113	Ga0187557_1001	BWF2A
Ga0187557_100114	Ga0187557_1001	BWF2A
Ga0187557_100115	Ga0187557_1001	BWF2A
Ga0187557_100116	Ga0187557_1001	BWF2A
Ga0187557_100117	Ga0187557_1001	BWF2A
Ga0187557_100118	Ga0187557_1001	BWF2A
Ga0187557_100119	Ga0187557_1001	BWF2A
Ga0187557_100120	Ga0187557_1001	BWF2A
Ga0187557_100121	Ga0187557_1001	BWF2A
Ga0187557_100122	Ga0187557_1001	BWF2A
Ga0187557_100123	Ga0187557_1001	BWF2A
Ga0187557_100124	Ga0187557_1001	BWF2A
Ga0187557_100125	Ga0187557_1001	BWF2A
Ga0187557_100126	Ga0187557_1001	BWF2A
Ga0187557_100127	Ga0187557_1001	BWF2A
Ga0187557_100128	Ga0187557_1001	BWF2A
Ga0187557_100129	Ga0187557_1001	BWF2A
Ga0187557_100130	Ga0187557_1001	BWF2A
Ga0187557_100131	Ga0187557_1001	BWF2A
Ga0187557_100132	Ga0187557_1001	BWF2A
Ga0187557_100133	Ga0187557_1001	BWF2A
Ga0187557_100134	Ga0187557_1001	BWF2A
Ga0187557_100135	Ga0187557_1001	BWF2A
Ga0187557_100136	Ga0187557_1001	BWF2A
Ga0187557_100137	Ga0187557_1001	BWF2A
Ga0187557_100138	Ga0187557_1001	BWF2A
Ga0187557_100139	Ga0187557_1001	BWF2A
Ga0187557_100140	Ga0187557_1001	BWF2A
Ga0187557_100141	Ga0187557_1001	BWF2A
Ga0187557_100142	Ga0187557_1001	BWF2A
Ga0187557_100143	Ga0187557_1001	BWF2A
Ga0187557_100144	Ga0187557_1001	BWF2A
Ga0187557_100145	Ga0187557_1001	BWF2A
Ga0187557_100146	Ga0187557_1001	BWF2A
Ga0187557_100147	Ga0187557_1001	BWF2A
Ga0187557_100148	Ga0187557_1001	BWF2A
Ga0187557_100149	Ga0187557_1001	BWF2A
Ga0187557_100150	Ga0187557_1001	BWF2A
Ga0187557_100151	Ga0187557_1001	BWF2A
Ga0187557_100152	Ga0187557_1001	BWF2A
Ga0187557_100153	Ga0187557_1001	BWF2A
Ga0187557_100154	Ga0187557_1001	BWF2A
Ga0187557_100155	Ga0187557_1001	BWF2A
Ga0187557_100156	Ga0187557_1001	BWF2A
Ga0187557_100157	Ga0187557_1001	BWF2A
Ga0187557_100158	Ga0187557_1001	BWF2A
Ga0187557_100159	Ga0187557_1001	BWF2A
Ga0187557_100160	Ga0187557_1001	BWF2A
Ga0187557_100161	Ga0187557_1001	BWF2A
Ga0187557_100162	Ga0187557_1001	BWF2A
Ga0187557_100163	Ga0187557_1001	BWF2A
Ga0187557_100164	Ga0187557_1001	BWF2A
Ga0187557_100165	Ga0187557_1001	BWF2A
Ga0187557_100166	Ga0187557_1001	BWF2A
Ga0187557_100167	Ga0187557_1001	BWF2A
Ga0187557_100168	Ga0187557_1001	BWF2A
Ga0187557_100169	Ga0187557_1001	BWF2A
Ga0187557_100170	Ga0187557_1001	BWF2A
Ga0187557_100171	Ga0187557_1001	BWF2A
Ga0187557_100172	Ga0187557_1001	BWF2A
Ga0187557_100173	Ga0187557_1001	BWF2A
Ga0187557_100174	Ga0187557_1001	BWF2A
Ga0187557_100175	Ga0187557_1001	BWF2A
Ga0187557_100176	Ga0187557_1001	BWF2A
Ga0187557_100177	Ga0187557_1001	BWF2A
Ga0187557_100178	Ga0187557_1001	BWF2A
Ga0187557_100179	Ga0187557_1001	BWF2A
Ga0187557_100180	Ga0187557_1001	BWF2A
Ga0187557_100181	Ga0187557_1001	BWF2A
Ga0187557_100182	Ga0187557_1001	BWF2A
Ga0187557_100183	Ga0187557_1001	BWF2A
Ga0187557_100184	Ga0187557_1001	BWF2A
Ga0187557_100185	Ga0187557_1001	BWF2A
Ga0187557_100186	Ga0187557_1001	BWF2A
Ga0187557_100187	Ga0187557_1001	BWF2A
Ga0187557_100188	Ga0187557_1001	BWF2A
Ga0187557_100189	Ga0187557_1001	BWF2A
Ga0187557_100190	Ga0187557_1001	BWF2A
Ga0187557_100191	Ga0187557_1001	BWF2A
Ga0187557_100192	Ga0187557_1001	BWF2A
Ga0187557_100193	Ga0187557_1001	BWF2A
Ga0187557_100194	Ga0187557_1001	BWF2A
Ga0187557_100195	Ga0187557_1001	BWF2A
Ga0187557_100196	Ga0187557_1001	BWF2A
Ga0187557_100197	Ga0187557_1001	BWF2A
Ga0187557_100198	Ga0187557_1001	BWF2A
Ga0187557_100199	Ga0187557_1001	BWF2A
Ga0187557_1001100	Ga0187557_1001	BWF2A
Ga0187557_1001101	Ga0187557_1001	BWF2A
Ga0187557_1001102	Ga0187557_1001	BWF2A
Ga0187557_1001103	Ga0187557_1001	BWF2A
Ga0187557_1001104	Ga0187557_1001	BWF2A
Ga0187557_1001105	Ga0187557_1001	BWF2A
Ga0187557_1001106	Ga0187557_1001	BWF2A
Ga0187557_1001107	Ga0187557_1001	BWF2A
Ga0187557_1001108	Ga0187557_1001	BWF2A
Ga0187557_1001109	Ga0187557_1001	BWF2A
Ga0187557_1001110	Ga0187557_1001	BWF2A
Ga0187557_1001111	Ga0187557_1001	BWF2A
Ga0187557_1001112	Ga0187557_1001	BWF2A
Ga0187557_1001113	Ga0187557_1001	BWF2A
Ga0187557_1001114	Ga0187557_1001	BWF2A
Ga0187557_1001115	Ga0187557_1001	BWF2A
Ga0187557_1001116	Ga0187557_1001	BWF2A
Ga0187557_1001117	Ga0187557_1001	BWF2A
Ga0187557_1001118	Ga0187557_1001	BWF2A
Ga0187557_1001119	Ga0187557_1001	BWF2A
Ga0187557_1001120	Ga0187557_1001	BWF2A
Ga0187557_1001121	Ga0187557_1001	BWF2A
Ga0187557_1001122	Ga0187557_1001	BWF2A
Ga0187557_1001123	Ga0187557_1001	BWF2A
Ga0187557_1001124	Ga0187557_1001	BWF2A
Ga0187557_1001125	Ga0187557_1001	BWF2A
Ga0187557_1001126	Ga0187557_1001	BWF2A
Ga0187557_1001127	Ga0187557_1001	BWF2A
Ga0187557_1001128	Ga0187557_1001	BWF2A
Ga0187557_1001129	Ga0187557_1001	BWF2A
Ga0187557_1001130	Ga0187557_1001	BWF2A
Ga0187557_1001131	Ga0187557_1001	BWF2A
Ga0187557_1001132	Ga0187557_1001	BWF2A
Ga0187557_1001133	Ga0187557_1001	BWF2A
Ga0187557_1001134	Ga0187557_1001	BWF2A
Ga0187557_1001135	Ga0187557_1001	BWF2A
Ga0187557_1001136	Ga0187557_1001	BWF2A
Ga0187557_1001137	Ga0187557_1001	BWF2A
Ga0187557_1001138	Ga0187557_1001	BWF2A
Ga0187557_1001139	Ga0187557_1001	BWF2A
Ga0187557_1001140	Ga0187557_1001	BWF2A
Ga0187557_1001141	Ga0187557_1001	BWF2A
Ga0187557_1001142	Ga0187557_1001	BWF2A
Ga0187557_1001143	Ga0187557_1001	BWF2A
Ga0187557_1001144	Ga0187557_1001	BWF2A
Ga0187557_1001145	Ga0187557_1001	BWF2A
Ga0187557_1001146	Ga0187557_1001	BWF2A
Ga0187557_1001147	Ga0187557_1001	BWF2A
Ga0187557_1001148	Ga0187557_1001	BWF2A
Ga0187557_1001149	Ga0187557_1001	BWF2A
Ga0187557_1001150	Ga0187557_1001	BWF2A
Ga0187557_1001151	Ga0187557_1001	BWF2A
Ga0187557_1001152	Ga0187557_1001	BWF2A
Ga0187557_1001153	Ga0187557_1001	BWF2A
Ga0187557_1001154	Ga0187557_1001	BWF2A
Ga0187557_1001155	Ga0187557_1001	BWF2A
Ga0187557_1001156	Ga0187557_1001	BWF2A
Ga0187557_1001157	Ga0187557_1001	BWF2A
Ga0187557_1001158	Ga0187557_1001	BWF2A
Ga0187557_1001159	Ga0187557_1001	BWF2A
Ga0187557_1001160	Ga0187557_1001	BWF2A
Ga0187557_1001161	Ga0187557_1001	BWF2A
Ga0187557_1001162	Ga0187557_1001	BWF2A
Ga0187557_1001163	Ga0187557_1001	BWF2A
Ga0187557_1001164	Ga0187557_1001	BWF2A
Ga0187557_1001165	Ga0187557_1001	BWF2A
Ga0187557_1001166	Ga0187557_1001	BWF2A
Ga0187557_1001167	Ga0187557_1001	BWF2A
Ga0187557_1001168	Ga0187557_1001	BWF2A
Ga0187557_1001169	Ga0187557_1001	BWF2A
Ga0187557_1001170	Ga0187557_1001	BWF2A
Ga0187557_1001171	Ga0187557_1001	BWF2A
Ga0187557_1001172	Ga0187557_1001	BWF2A
Ga0187557_1001173	Ga0187557_1001	BWF2A
Ga0187557_1001174	Ga0187557_1001	BWF2A
Ga0187557_1001175	Ga0187557_1001	BWF2A
Ga0187557_1001176	Ga0187557_1001	BWF2A
Ga0187557_1001177	Ga0187557_1001	BWF2A
Ga0187557_1001178	Ga0187557_1001	BWF2A
Ga0187557_1001179	Ga0187557_1001	BWF2A
Ga0187557_1001180	Ga0187557_1001	BWF2A
Ga0187557_1001181	Ga0187557_1001	BWF2A
Ga0187557_1001182	Ga0187557_1001	BWF2A
Ga0187557_1001183	Ga0187557_1001	BWF2A
Ga0187557_1001184	Ga0187557_1001	BWF2A
Ga0187557_1001185	Ga0187557_1001	BWF2A
Ga0187557_1001186	Ga0187557_1001	BWF2A
Ga0187557_1001187	Ga0187557_1001	BWF2A
Ga0187557_1001188	Ga0187557_1001	BWF2A
Ga0187557_1001189	Ga0187557_1001	BWF2A
Ga0187557_1001190	Ga0187557_1001	BWF2A
Ga0187557_1001191	Ga0187557_1001	BWF2A
Ga0187557_1001192	Ga0187557_1001	BWF2A
Ga0187557_1001193	Ga0187557_1001	BWF2A
Ga0187557_1001194	Ga0187557_1001	BWF2A
Ga0187557_1001195	Ga0187557_1001	BWF2A
Ga0187557_1001196	Ga0187557_1001	BWF2A
Ga0187557_1001197	Ga0187557_1001	BWF2A
Ga0187557_1001198	Ga0187557_1001	BWF2A
Ga0187557_1001199	Ga0187557_1001	BWF2A
Ga0187557_1001200	Ga0187557_1001	BWF2A
Ga0187557_1001201	Ga0187557_1001	BWF2A
Ga0187557_1001202	Ga0187557_1001	BWF2A
Ga0187557_1001203	Ga0187557_1001	BWF2A
Ga0187557_1001204	Ga0187557_1001	BWF2A
Ga0187557_1001205	Ga0187557_1001	BWF2A
Ga0187557_1001206	Ga0187557_1001	BWF2A
Ga0187557_1001207	Ga0187557_1001	BWF2A
Ga0187557_1001208	Ga0187557_1001	BWF2A
Ga0187557_1001209	Ga0187557_1001	BWF2A
Ga0187557_1001210	Ga0187557_1001	BWF2A
Ga0187557_1001211	Ga0187557_1001	BWF2A
Ga0187557_1001212	Ga0187557_1001	BWF2A
Ga0187557_1001213	Ga0187557_1001	BWF2A
Ga0187557_1001214	Ga0187557_1001	BWF2A
Ga0187557_1001215	Ga0187557_1001	BWF2A
Ga0187557_1001216	Ga0187557_1001	BWF2A
Ga0187557_1001217	Ga0187557_1001	BWF2A
Ga0187557_1001218	Ga0187557_1001	BWF2A
Ga0187557_1001219	Ga0187557_1001	BWF2A
Ga0187557_1001220	Ga0187557_1001	BWF2A
Ga0187557_1001221	Ga0187557_1001	BWF2A
Ga0187557_1001222	Ga0187557_1001	BWF2A
Ga0187557_1001223	Ga0187557_1001	BWF2A
Ga0187557_1001224	Ga0187557_1001	BWF2A
Ga0187557_1001225	Ga0187557_1001	BWF2A
Ga0187557_1001226	Ga0187557_1001	BWF2A
