Gene_group	CAZ_Domain	CAZ_group	Genome
Ga0196617_100009115	GH43	GH	RCLO1
Ga0196617_100009115	CBM13	CBM	RCLO1
Ga0196617_100009115	DOC1	DOC	RCLO1
Ga0196617_100009116	GH81	GH	RCLO1
Ga0196617_100009116	DOC1	DOC	RCLO1
Ga0196617_100009142	DOC1	DOC	RCLO1
Ga0196617_100009143	CBM48	CBM	RCLO1
Ga0196617_100009158	GH9	GH	RCLO1
Ga0196617_100009158	CBM3	CBM	RCLO1
Ga0196617_100009158	DOC1	DOC	RCLO1
Ga0196617_100009159	CBM30	CBM	RCLO1
Ga0196617_100009159	GH9	GH	RCLO1
Ga0196617_100009159	GH44	GH	RCLO1
Ga0196617_100009159	DOC1	DOC	RCLO1
Ga0196617_100009159	CBM44	CBM	RCLO1
Ga0196617_100009203	GH9	GH	RCLO1
Ga0196617_100009203	CBM3	CBM	RCLO1
Ga0196617_100009203	DOC1	DOC	RCLO1
Ga0196617_100009224	CE4	CE	RCLO1
Ga0196617_10000923	GH9	GH	RCLO1
Ga0196617_10000923	CBM3	CBM	RCLO1
Ga0196617_10000923	DOC1	DOC	RCLO1
Ga0196617_10000943	DOC1	DOC	RCLO1
Ga0196617_100014143	GH9	GH	RCLO1
Ga0196617_100014143	DOC1	DOC	RCLO1
Ga0196617_100014145	GH5_55	GH	RCLO1
Ga0196617_100014145	CBM32	CBM	RCLO1
Ga0196617_100014145	DOC1	DOC	RCLO1
Ga0196617_10001446	DOC1	DOC	RCLO1
Ga0196617_10001451	CBM22	CBM	RCLO1
Ga0196617_10001451	GH10	GH	RCLO1
Ga0196617_10001451	CBM22	CBM	RCLO1
Ga0196617_10001451	DOC1	DOC	RCLO1
Ga0196617_10001451	CE1	CE	RCLO1
Ga0196617_1000146	CBM25	CBM	RCLO1
Ga0196617_10001484	GH23	GH	RCLO1
Ga0196617_10001610	CBM3	CBM	RCLO1
Ga0196617_10001610	SLH	SLH	RCLO1
Ga0196617_10001610	SLH	SLH	RCLO1
Ga0196617_10001610	SLH	SLH	RCLO1
Ga0196617_100016107	SLH	SLH	RCLO1
Ga0196617_100016107	SLH	SLH	RCLO1
Ga0196617_10001656	DOC1	DOC	RCLO1
Ga0196617_10001684	CBM22	CBM	RCLO1
Ga0196617_10001684	GH10	GH	RCLO1
Ga0196617_10001684	DOC1	DOC	RCLO1
Ga0196617_10001933	CBM25	CBM	RCLO1
Ga0196617_10001939	CE4	CE	RCLO1
Ga0196617_10002318	GH26	GH	RCLO1
Ga0196617_10002318	GH5_25	GH	RCLO1
Ga0196617_10002318	CBM11	CBM	RCLO1
Ga0196617_10002318	DOC1	DOC	RCLO1
Ga0196617_10002319	GH5	GH	RCLO1
Ga0196617_10002366	GH1	GH	RCLO1
Ga0196617_10002394	GH53	GH	RCLO1
Ga0196617_10002394	DOC1	DOC	RCLO1
Ga0196617_10002396	GH74	GH	RCLO1
Ga0196617_10002396	DOC1	DOC	RCLO1
Ga0196617_100024103	CBM3	CBM	RCLO1
Ga0196617_100024109	SLH	SLH	RCLO1
Ga0196617_100024109	SLH	SLH	RCLO1
Ga0196617_100024109	SLH	SLH	RCLO1
Ga0196617_10002441	GH133	GH	RCLO1
Ga0196617_10002490	GH48	GH	RCLO1
Ga0196617_10002490	CBM3	CBM	RCLO1
Ga0196617_10002537	DOC1	DOC	RCLO1
Ga0196617_10002537	DOC1	DOC	RCLO1
Ga0196617_100026113	DOC1	DOC	RCLO1
Ga0196617_10002620	GH10	GH	RCLO1
Ga0196617_10002651	GH48	GH	RCLO1
Ga0196617_10002651	DOC1	DOC	RCLO1
Ga0196617_10003325	DOC1	DOC	RCLO1
